"fire","maxTemp","minTemp","precipitation","wind","relativeHuditiy","solar","ndvi"
"No",-13.30922222,-19.69066667,0.008392334,2.169523622,0.83458063,5.322445312,-0.0414
"No",-13.57244444,-20.00122222,0,2.001506858,0.823121697,4.89739426,-0.119900003
"No",-13.12866667,-19.59344444,0.004577637,1.898353688,0.833355733,5.3455435,0.082199998
"No",-13.196,-19.34611111,0,2.101118587,0.823594428,4.929169492,-0.115500003
"No",-13.38444444,-18.56388889,0.037384041,1.91855278,0.844185398,5.296068972,-0.180600002
"No",-14.80544444,-19.51455556,0.085830718,2.117390197,0.832894104,4.608604968,0.0836
"No",-12.89966667,-18.41533333,0.023269663,1.787235473,0.842543832,5.315786336,0.020099999
"No",-14.61133333,-19.87044444,0.060272258,2.088065236,0.829324184,4.747944708,0.0272
"No",-17.73477778,-24.274,0.201034496,2.712887468,0.793105569,4.898275652,-0.112000003
"No",-19.86244444,-25.84411111,0.133132943,2.835709937,0.773021781,4.776131912,-7e-04
"No",-17.54755556,-24.34711111,0.133895934,2.596275089,0.791949554,5.064080464,-0.0823
"No",-20.30277778,-26.32688889,0.080108673,2.766935938,0.769298288,4.892480244,-0.214499995
"No",-18.83988889,-26.61255556,0.003051757,1.868517642,0.749518507,5.905017616,-0.127900004
"No",-19.29322222,-27.23466667,0.000762939,2.321769999,0.73260215,5.456356084,0.0239
"No",-18.74277778,-26.59722222,0.00038147,1.218791125,0.75481416,5.880568284,0.226500005
"No",-18.88611111,-27.26677778,0,1.802080668,0.737451988,5.4739496,-0.142100006
"No",-16.16177778,-22.48755556,0.010681151,1.284773564,0.741230238,3.851430752,-4e-04
"No",-16.862,-23.68666667,0,1.225852031,0.742656358,3.831555956,-0.006
"No",-16.01044444,-22.85377778,0.058364887,1.56481887,0.75098102,3.729782492,-0.062700003
"No",-16.88355556,-24.32855556,0.003051757,1.25593799,0.725756872,3.605482508,-0.085500002
"No",-14.71411111,-19.24411111,0.57048809,2.054929696,0.836374395,4.760756712,-0.0744
"No",-15.39922222,-21.86688889,0.097274826,1.562354885,0.819719258,5.517347284,0.0122
"No",-14.26577778,-18.466,1.328086998,2.406283964,0.846111103,4.24333082,0.2491
"No",-15.24944444,-20.07088889,0.322532642,2.048832399,0.820610648,5.359343384,0.422500014
"No",-15.34611111,-20.63444444,0.56571957,1.726332217,0.836315621,5.650431452,-0.132400006
"No",-16.88733333,-22.27333333,0.275039655,1.682035704,0.809867938,5.352894344,-0.126399994
"No",-14.91511111,-20.401,0.393676742,1.688841475,0.83964917,5.660693372,0.413300008
"No",-16.60066667,-21.96,0.248336804,1.696811325,0.813827307,5.329738016,-0.28580001
"No",-14.44644444,-23.06388889,0.671959034,1.483264446,0.836795399,5.502799626,-0.156399995
"No",-16.49777778,-25.39788889,0.380516154,1.246611189,0.808424056,5.56392566,-0.2236
"No",-13.58188889,-22.13722222,0.959587136,1.853826673,0.848961905,5.08881208,-0.0153
"No",-15.97088889,-25.00155556,0.855255367,1.592434391,0.816054,5.377299364,-0.045400001
"No",-11.61222222,-15.86955556,1.443100588,1.975294931,0.892613283,3.240999576,-0.157700002
"No",-12.66466667,-17.48,1.894283244,2.164298872,0.877934466,3.009243416,-0.216100007
"No",-11.13922222,-14.747,1.422978244,2.166607693,0.901330568,3.198028832,-0.0128
"No",-12.75055556,-16.96,1.82638216,2.336984315,0.87466586,2.974900196,-0.111000001
"No",-13.33144444,-20.09933333,0.679206788,2.591524098,0.870986255,4.88330568,-0.071099997
"No",-14.38477778,-19.95577778,0.574684284,2.378820434,0.856378618,5.01603219,-0.180700004
"No",-12.19322222,-18.52811111,0.716400264,2.803863574,0.883217549,4.552245484,0.142199993
"No",-13.94444444,-19.88366667,0.537490936,2.650106597,0.862563285,4.91808056,-0.25940001
"No",-17.48288889,-23.44777778,0.034713735,1.578769163,0.804107195,6.74902579,-0.226300001
"No",-17.24144444,-23.01566667,0.056076051,1.857436106,0.808422659,6.2120369,-0.165399998
"No",-16.74722222,-22.459,0.065231326,2.026021791,0.813970429,6.73374231,0.130500004
"No",-16.74611111,-22.74166667,0.029373165,2.5187655,0.811251668,6.27071908,-0.106299996
"No",-14.64588889,-21.10911111,0.093460104,2.580337677,0.833511208,6.00147596,-0.071099997
"No",-14.36666667,-20.49666667,0.071716329,3.192858107,0.831525659,5.794080782,-0.1215
"No",-14.20388889,-20.82711111,0.133514414,2.880186135,0.840226126,6.56509367,0.074699998
"No",-13.84388889,-20.25288889,0.069808954,3.834950346,0.83302961,6.24756758,0.081500001
"No",-14.17377778,-18.93844444,0.389862156,3.411416597,0.854756543,5.58800564,-0.0046
"No",-14.815,-19.07677778,0.359916636,3.01897277,0.848649895,4.87446886,0.032299999
"No",-14.17388889,-18.76855556,0.431823848,3.202631168,0.85647655,5.77189461,0.129700005
"No",-14.76244444,-18.76711111,0.442695636,3.146284082,0.850117429,5.04368157,-0.033100002
"No",-10.97488889,-16.01344444,1.384639868,2.532332589,0.89010675,4.64486759,-0.036400001
"No",-11.93066667,-16.55522222,1.495170984,2.09577095,0.87971142,4.009912176,-0.164399996
"No",-10.80577778,-16.11377778,1.1503225,2.076354621,0.88909384,4.725437092,-0.099100001
"No",-11.55988889,-16.54155556,1.288986456,1.909057283,0.8814398,4.054055412,-0.118600003
"No",-10.22922222,-14.15455556,1.536560268,1.119345714,0.907983264,4.73983574,-0.065200001
"No",-11.48255556,-15.60166667,1.048374432,1.150642572,0.892223599,4.603711418,-0.087399997
"No",-11.32933333,-16.043,0.894260712,1.388938368,0.900459549,5.45166966,-0.065499999
"No",-13.244,-17.84722222,0.504970668,1.680258222,0.872061935,5.53621919,-0.159700006
"No",-11.17144444,-15.06666667,0.546646084,1.986658654,0.896559728,5.560518772,-0.046999998
"No",-11.03055556,-15.00366667,0.5647661,1.811544214,0.900677501,5.02066857,-0.039799999
"No",-11.177,-16.44477778,0.41532514,2.001894344,0.886151961,5.69551316,0.178900003
"No",-11.46777778,-16.78433333,0.374221792,1.969818578,0.884767461,5.35250029,0.047499999
"No",-11.08477778,-19.05777778,0.062942491,1.285772548,0.85994248,7.61030002,-0.0792
"No",-10.752,-18.62744444,0.054168696,1.473464756,0.865932694,7.12980675,-0.0231
"No",-10.96933333,-18.81922222,0.051116943,1.453695866,0.866270527,7.58552475,0.095899999
"No",-10.51088889,-18.84866667,0.026321402,1.857512436,0.866306248,7.1758816,0.061000001
"No",-8.488666667,-17.18655556,0,2.504585453,0.869586957,7.371424168,-0.105800003
"No",-8.425333333,-15.93311111,0,2.869994391,0.879784068,6.38372993,-0.112800002
"No",-8.403444444,-16.35666667,0,2.750454929,0.88598578,6.950568496,0.295899987
"No",-8.182444444,-14.94266667,0,3.465122346,0.890830104,5.99619377,-0.168799996
"No",-7.453333333,-11.61811111,0.165557856,3.216916898,0.912779958,5.6728877,0.088299997
"No",-8.491111111,-11.081,0.230026246,2.968582263,0.914982885,4.065000668,0.017200001
"No",-7.896444444,-12.29566667,0.259017944,3.04610083,0.916150455,5.979268344,0.101599999
"No",-9.021666667,-11.27133333,0.308799758,3.239481455,0.912392388,3.796606008,-0.0583
"No",-5.822444444,-10.37811111,1.647949656,1.316841741,0.945531611,4.679311064,-0.033500001
"No",-6.880666667,-11.515,0.80890686,1.423433042,0.933754775,5.164294312,-0.089900002
"No",-5.089222222,-10.022,2.049637368,1.409810308,0.950485697,4.228042218,0.0079
"No",-6.686,-11.04933333,1.201630004,1.504455334,0.936612576,4.667892352,0.036499999
"No",-6.569,-12.78366667,0.65307629,1.325844854,0.930156532,5.37562523,-0.118199997
"No",-6.951555556,-13.26722222,0.679016493,1.121201432,0.927507676,5.009111424,-0.054200001
"No",-6.385444444,-11.77611111,0.574875365,1.252050153,0.930363509,5.475662538,0.053399999
"No",-7.297444444,-13.53766667,0.259494774,1.039163729,0.91969203,6.13941245,-0.195800006
"No",-6.41,-12.92733333,0.577545472,1.32330499,0.930507747,6.147863164,-0.107299998
"No",-6.815555556,-13.004,0.457954765,1.627868855,0.924940305,5.340861932,-0.016799999
"No",-5.857111111,-11.596,0.64230043,1.292738725,0.932940963,5.633693124,-0.031800002
"No",-5.864444444,-12.47444444,0.622654228,1.747918045,0.930424895,5.051768554,-0.068400003
"No",-8.733111111,-12.396,0.839234052,2.416395219,0.915354575,5.632037714,-0.074199997
"No",-9.296666667,-13.40988889,0.788688956,2.509293976,0.907330328,5.444587252,-0.122000001
"No",-8.307444444,-12.80988889,0.774098192,2.247987295,0.91188316,5.745673556,-0.043299999
"No",-8.945,-14.34411111,0.722027072,2.406961876,0.902346494,5.492037622,-0.191599995
"No",-10.593,-15.58788889,0.300598128,1.404410329,0.885443272,7.30918216,-0.160500005
"No",-11.12588889,-16.80622222,0.25100709,1.433343688,0.879722844,7.275844376,0.073100001
"No",-10.46444444,-16.54144444,0.233459456,1.425614805,0.884332622,7.385185928,-0.016000001
"No",-11.142,-18.50766667,0.185775735,1.404920449,0.874602061,7.225564342,-0.039099999
"No",-6.933666667,-14.21788889,0.929260589,3.285217847,0.919387695,5.51363209,-0.037999999
"No",-5.874111111,-14.60744444,0.945473246,3.336008636,0.911813737,5.029198394,-0.0014
"No",-6.266333333,-13.61455556,1.014519298,3.231898668,0.924283809,5.332117928,0.127100006
"No",-5.437777778,-13.57322222,1.119423324,3.594571879,0.916230173,4.78386951,-0.080399998
"No",-10.56677778,-18.85411111,0.339126638,3.017837009,0.841776568,9.163579478,-0.059300002
"No",-12.79566667,-19.55355556,0.220298808,3.031883656,0.818656579,8.774686774,-0.0061
"No",-10.60744444,-18.30722222,0.252151464,2.794838775,0.843655136,9.22832613,0.1655
"No",-13.17777778,-19.329,0.198936507,3.006427591,0.820983984,8.806307606,0.064900003
"No",-11.78655556,-21.01411111,0.045013417,1.984832803,0.844711016,9.433817552,0.286300004
"No",-12.77833333,-21.47433333,0.038528431,2.068484597,0.825952984,9.161186808,-0.0083
"No",-11.21011111,-21.09333333,0.072860706,1.842255223,0.852684119,9.348762216,0.082999997
"No",-12.32788889,-21.53377778,0.070571886,2.058716388,0.832211881,9.162149224,0.0131
"No",-7.742888889,-15.76244444,0.989723251,2.644469301,0.912315357,5.368237888,-0.075300001
"No",-8.511777778,-17.50055556,0.809479476,2.321771394,0.90008165,5.45959993,-0.108199999
"No",-6.203222222,-14.28444444,1.17263798,2.45072066,0.927047652,5.246781378,0.0062
"No",-7.325333333,-16.29688889,0.939942014,2.393602496,0.910577973,5.595075608,-0.056600001
"No",-6.856,-12.656,0.411796698,1.357543283,0.932783256,7.938470162,-0.070500001
"No",-8.481,-15.52644444,0.250625597,1.616243652,0.91275133,8.573238174,0.075099997
"No",-6.207111111,-12.61966667,0.366210978,1.511756589,0.937313233,8.193594408,0.125499994
"No",-7.884777778,-16.07011111,0.25749221,1.772494467,0.915447013,8.63327411,-0.0097
"No",-3.759777778,-9.399111111,1.626586964,1.672796246,0.960410839,4.680650176,-0.028999999
"No",-3.470888889,-9.752222222,0.931549168,1.549646067,0.957429978,5.245612636,0.043900002
"No",-2.788666667,-7.940444444,1.84803014,1.625470149,0.966734263,4.1523447,0.207800001
"No",-2.869666667,-8.681666667,0.995827,1.546089226,0.961897349,4.978330468,-0.0274
"No",-4.518888889,-9.718333333,0.623321936,2.011467922,0.951046116,6.530805652,0.022500001
"No",-4.724444444,-9.454555556,0.778389588,1.868915395,0.954309223,5.529357496,-0.048700001
"No",-4.244333333,-8.759333333,0.685310696,2.357897819,0.954046694,6.09375567,-0.021299999
"No",-4.825444444,-9.242666667,0.761986062,2.238967163,0.952603263,5.570370342,-0.0255
"No",-5.217111111,-9.107111111,1.672172764,3.877515916,0.943465476,5.90542403,-0.167400002
"No",-5.324111111,-9.116111111,1.570511184,3.636805954,0.94357306,5.265949746,-0.0103
"No",-5.004888889,-8.844444444,1.6880035,3.702506493,0.9461111,5.481504582,-0.0061
"No",-5.646,-8.869333333,1.408576908,3.8166916,0.942996827,5.020018492,0.032900002
"No",0.176444444,-5.403333333,0.88386524,1.843531034,0.973580259,5.353667954,0.022600001
"No",-0.290888889,-6.403888889,0.744247664,1.748890117,0.968709839,5.462761634,0.1171
"No",0.174777778,-5.142,1.011657564,1.729538404,0.977544032,4.782437272,-0.0075
"No",-0.498888889,-6.488444444,0.693893488,1.824139505,0.968505964,5.202292494,-0.069799997
"No",-1.894888889,-3.993,0.957870592,2.773249092,0.969485428,4.883182664,-0.050099999
"No",-1.653777778,-3.858666667,0.878333764,2.943528962,0.969988142,4.473906972,0.0196
"No",-1.606888889,-4.054666667,0.982284452,2.762839686,0.967588444,4.989879842,0.0337
"No",-1.173,-3.886222222,0.68264026,3.206196229,0.967623059,4.682125216,-0.032299999
"No",-2.270222222,-5.470555556,1.123046788,3.451268673,0.964550257,5.040137758,0.388599992
"No",-2.086222222,-5.211888889,1.278686352,3.454586025,0.964058673,4.590599798,-1e-04
"No",-1.207,-5.241777778,1.148605528,3.309357492,0.966251951,4.633292298,0.093699999
"No",-1.541555556,-4.851444444,1.285553332,3.575021077,0.963299348,4.181581716,-0.034499999
"No",0.514111111,-2.466333333,1.233673356,2.327215433,0.985689569,2.783257606,-0.082800001
"No",0.311222222,-3.033222222,1.11694396,2.123924113,0.982516814,2.621518196,-0.060899999
"No",0.821777778,-1.413888889,1.161193944,2.24768804,0.991033514,2.718437428,0.244000003
"No",0.864222222,-2.223777778,1.034165032,2.201435991,0.986523789,2.81537597,-0.0088
"No",0.834,-1.529111111,0.792312832,2.256353626,0.978945727,4.736844418,-0.083700001
"No",0.320222222,-2.251,0.898552072,2.375953867,0.971517582,3.77981834,-0.032600001
"No",0.639222222,-1.715555556,0.819206376,2.255833333,0.976596647,4.759594132,0.097099997
"No",0.171333333,-2.275555556,0.82836192,2.598374473,0.969836709,3.951149218,-0.0207
"No",1.423444444,-0.099888889,1.21955878,3.21675175,0.984210352,3.098180502,-0.0228
"No",1.664111111,-0.201111111,1.155090256,3.087801706,0.985277154,2.946155582,-0.047699999
"No",1.247333333,0.091888889,1.468276788,3.071714365,0.986218667,2.872325714,0.107100002
"No",1.407333333,-0.148888889,1.135253864,3.221119285,0.983144292,2.79863161,0.029300001
"No",0.666333333,-1.050222222,1.216888188,2.644309692,0.96755587,3.53149398,-0.023399999
"No",0.622333333,-0.433111111,1.183318136,2.31548566,0.974082854,2.968692452,0.035100002
"No",0.697777778,-1.508777778,1.279830588,2.69853065,0.969265866,3.40469486,0.078599997
"No",0.605444444,-0.6,1.139449508,2.621538983,0.971704793,3.193874078,0.0211
"No",1.768555556,-1.223666667,1.144981276,2.263828179,0.959569214,3.135082036,-0.173899993
"No",1.485,-0.912777778,1.40991204,2.309247499,0.96772731,2.765812856,-0.0067
"No",1.549666667,-0.593444444,1.176452576,2.273602974,0.977532359,2.556950312,0.031399999
"No",1.443888889,-0.506333333,1.39064782,2.476130065,0.976385136,2.651655968,0.0152
"No",1.408666667,-5.017666667,0.749969548,2.392408191,0.899757585,8.881506452,-0.026699999
"No",1.312888889,-7.415888889,0.476836862,2.440743625,0.832525315,11.13284855,0.033300001
"No",1.197666667,-5.224333333,0.38986187,2.513623845,0.886009502,11.45912574,-0.072700001
"No",0.648555556,-7.934,0.395202318,2.366528889,0.837785467,11.71007557,0.024
"No",-0.486333333,-6.202111111,0.6216046,1.898616178,0.9544527,5.9977679,-0.097800002
"No",-1.475444444,-7.714333333,0.492858987,1.91394383,0.936726348,6.66326382,-0.0206
"No",-0.427222222,-5.784333333,0.560951156,2.077519781,0.952865109,6.252280104,-0.028899999
"No",-1.354888889,-7.471444444,0.507545376,2.207814143,0.931096211,6.810331812,-0.051899999
"No",0.823222222,-2.303111111,0.695037801,2.171645219,0.976758343,4.915818952,-0.058699999
"No",0.402444444,-2.702,1.133727912,2.340370636,0.971421472,4.204974832,-0.035999998
"No",0.531555556,-2.265777778,1.039886756,2.311184827,0.977169363,4.148864052,0.052299999
"No",0.227444444,-2.706333333,1.147079428,2.536319272,0.968272027,4.37500076,-0.021199999
"No",1.261444444,-2.183444444,1.225662095,3.088007357,0.977936917,3.906229852,-0.015699999
"No",1.157111111,-1.822777778,1.342773392,3.172441545,0.975237554,3.611668932,0.01
"No",1.720777778,-1.843111111,1.444816764,3.041608627,0.980992539,3.964192892,0.1171
"No",1.281111111,-1.828444444,1.461410652,3.295507776,0.974194214,3.758380884,-0.0297
"No",0.739333333,-0.633111111,2.43434924,2.842806463,0.973560645,3.581574948,-0.0151
"No",0.732,-0.984222222,3.522109544,2.43780982,0.972307938,3.1664954,7e-04
"No",0.953444444,-0.782777778,3.24154112,2.645385689,0.975494514,3.443919184,0.106399998
"No",0.769111111,-1.164333333,2.68573816,2.382555054,0.971072947,3.146374936,0.023499999
"No",0.481111111,-2.427777778,1.615714036,2.363878217,0.95680687,6.750594552,-0.0557
"No",0.263111111,-3.727111111,0.910567655,2.415039078,0.94867072,7.473307412,0.0143
"No",0.5,-3.466111111,0.891304088,2.197598074,0.957667901,6.279392956,0.167400002
"No",0.276444444,-4.385888889,0.514602655,2.393463215,0.946743539,8.933930504,-0.0118
"No",2.08,-4.852,0.120925919,3.104549006,0.966593155,11.37928023,-0.027000001
"No",1.309555556,-4.633444444,0.26664755,3.51843136,0.962540503,9.83071702,-0.059999999
"No",1.809333333,-4.996666667,0.127601643,3.104031674,0.966101218,10.89473832,0.153099999
"No",1.247111111,-5.338888889,0.264740174,3.822497812,0.95732108,10.43906098,-0.0105
"No",2.155111111,-0.434777778,0.796127152,2.619767818,0.971710845,5.002212516,-0.0099
"No",1.876,0.425555556,0.911331048,2.627546307,0.974607657,4.352401004,-0.0447
